"","Age","beta_hat_0","bn_beta_hat_1","beta_check_0","bn_beta_check_1","u_t","local_n"
"1080",71.975,0.503929303571429,-0.00984107142857149,0.50387145,-0.0141407214101686,0.978572725260582,15510
"1081",72,0.503884571428571,-0.0098410714285714,0.503826,-0.0141407214101687,0.978572725260585,15510
"1082",72.025,0.503858366666667,-0.00989266666666669,0.50378055,-0.0141407214101688,0.978454747777112,15510
"1083",72.05,0.5038134,-0.00989266666666661,0.5037351,-0.0141407214101688,0.978454747777113,15510
"1084",72.075,0.503768433333333,-0.00989266666666663,0.50368965,-0.0141407214101687,0.978454747777111,15510
"1085",72.1,0.503723466666667,-0.00989266666666676,0.5036442,-0.0141407214101688,0.978454747777105,15510
"1086",72.125,0.5036785,-0.00989266666666664,0.50359875,-0.0141407214101687,0.978454747777108,15510
"1087",72.15,0.503633533333333,-0.00989266666666674,0.5035533,-0.0141407214101686,0.978454747777109,15510
"1088",72.175,0.503588566666667,-0.00989266666666662,0.50350785,-0.0141407214101687,0.978454747777113,15510
"1089",72.2,0.5035436,-0.00989266666666672,0.5034624,-0.0141407214101687,0.978454747777107,15510
"1090",72.225,0.503498633333333,-0.00989266666666662,0.50341695,-0.0141407214101687,0.978454747777111,15510
"1091",72.25,0.503453666666667,-0.00989266666666676,0.5033715,-0.0141407214101687,0.978454747777111,15510
"1092",72.275,0.5034087,-0.00989266666666666,0.50332605,-0.0141407214101686,0.978454747777113,15510
"1093",72.3,0.503363733333333,-0.00989266666666675,0.5032806,-0.0141407214101688,0.978454747777109,15510
"1094",72.325,0.503436575,-0.0102794999999999,0.503318766666667,-0.0139903433680363,1.0169668213687,15510
"1095",72.35,0.50338985,-0.0102794999999998,0.5032738,-0.0139903433680362,1.01696682136871,15510
"1096",72.375,0.503343125,-0.0102794999999998,0.503228833333333,-0.0139903433680364,1.0169668213687,15510
"1097",72.4,0.50312168,-0.0109658999999999,0.503183866666667,-0.0139903433680362,1.01164842518756,15510
"1098",72.425,0.503071835,-0.0109658999999999,0.5031389,-0.0139903433680362,1.01164842518756,15510
"1099",72.45,0.50302199,-0.0109659,0.503093933333333,-0.0139903433680362,1.01164842518756,15510
"1100",72.475,0.502972145,-0.0109659,0.503034660714286,-0.013917376682568,1.01164842518756,15510
"1101",72.5,0.5029223,-0.0109659,0.502989928571429,-0.013917376682568,0.992260571389935,15960
"1102",72.525,0.502872455,-0.0109658999999999,0.502945196428571,-0.0139173766825681,0.995264952267855,14099
"1103",72.55,0.50282261,-0.0109659,0.502900464285714,-0.0139173766825681,0.995264952267857,14099
"1104",72.575,0.502772765,-0.0109659,0.502855732142857,-0.013917376682568,0.995264952267858,14099
"1105",72.6,0.50272292,-0.0109659,0.502811,-0.0139173766825681,0.995264952267856,14099
"1106",72.625,0.502673075,-0.0109659,0.502766267857143,-0.0139173766825681,0.995264952267862,14099
"1107",72.65,0.50262323,-0.0109659,0.502721535714286,-0.0139173766825681,0.995264952267856,14099
"1108",72.675,0.502573385,-0.0109658999999999,0.502676803571429,-0.0139173766825681,0.995264952267862,14099
"1109",72.7,0.50252354,-0.0109659,0.502632071428572,-0.0139173766825681,0.995264952267858,14099
"1110",72.725,0.502473695,-0.0109658999999999,0.502587339285714,-0.0139173766825681,0.995264952267857,14099
"1111",72.75,0.50242385,-0.0109659,0.502542607142857,-0.013917376682568,0.995264952267855,14099
"1112",72.775,0.502374005,-0.0109658999999999,0.502497875,-0.0139173766825681,0.995264952267855,14099
"1113",72.8,0.50232416,-0.0109659,0.502453142857143,-0.0139173766825681,0.995264952267859,14099
"1114",72.825,0.502274315,-0.0109658999999999,0.502408410714286,-0.0139173766825681,0.995264952267858,14099
"1115",72.85,0.50222447,-0.0109659,0.502363678571429,-0.013917376682568,0.995264952267859,14099
"1116",72.875,0.50207909375,-0.011246125,0.502318946428572,-0.0139173766825681,0.996680745529045,14099
"1117",72.9,0.5020531,-0.0113119285714285,0.502274214285714,-0.0139173766825681,0.959969296901564,14099
"1118",72.925,0.502001682142857,-0.0113119285714286,0.502229482142857,-0.0139173766825681,0.959969296901562,14099
"1119",72.95,0.501950264285714,-0.0113119285714285,0.50218475,-0.013917376682568,0.959969296901557,14099
"1120",72.975,0.501898846428572,-0.0113119285714285,0.502140017857143,-0.0139173766825681,0.95996929690156,14099
"1121",73,0.501847428571429,-0.0113119285714285,0.502095285714286,-0.0139173766825681,0.959969296901557,14099
