"","Age","beta_hat_0","bn_beta_hat_1","beta_check_0","bn_beta_check_1","u_t","local_n"
"651",61.25,0.4936295,-0.00819500000000016,0.49354653125,-0.0109934775154549,6.63739807853337,16948
"652",61.275,0.49359225,-0.00819500000000004,0.493511196875,-0.0109934775154549,6.63739807853337,16948
"653",61.3,0.493555,-0.00819500000000016,0.49349795,-0.0110333406602444,6.63739807853336,16948
"654",61.325,0.493594545,-0.00814770000000001,0.493464716666667,-0.011039822472405,6.64127288441311,16948
"655",61.35,0.493572183333333,-0.00816505555555553,0.49342941,-0.0110403410173781,6.63993695347952,16948
"656",61.375,0.493535069444444,-0.0081650555555555,0.493389333333333,-0.0110553788215913,6.63993695347952,16948
"657",61.4,0.4934982,-0.00816475,0.493352885714286,-0.011058341935722,6.63995999334206,16948
"658",61.425,0.4934610875,-0.0081647500000001,0.493317342857143,-0.011058341935722,6.63995999334206,16948
"659",61.45,0.493423975,-0.00816475000000004,0.493263541666667,-0.0111163078559034,6.63995999334206,16948
"660",61.475,0.4933868625,-0.00816474999999996,0.4932278125,-0.0111163078559034,6.63995999334207,16948
"661",61.5,0.49334975,-0.00816475000000001,0.493191409090909,-0.0111390531240317,6.42572447061638,18809
"662",61.525,0.4932860875,-0.00806574999999996,0.493155606818182,-0.0111390531240317,6.44549917395049,17581
"663",61.55,0.493239033333333,-0.00802633333333335,0.493119804545455,-0.0111390531240317,6.44674863946811,17581
"664",61.575,0.493198125,-0.0080208333333334,0.493086025,-0.0111461241918435,6.4469212114564,17581
"665",61.6,0.493152911111111,-0.00800738888888886,0.4930502,-0.0111461241918436,6.44752114447484,17581
"666",61.625,0.493116513888889,-0.00800738888888891,0.493005681818182,-0.0111581450071238,6.44752114447484,17581
"667",61.65,0.493073541666667,-0.00797041666666663,0.492969818181818,-0.0111581450071238,6.44894737015515,17581
"668",61.675,0.4930373125,-0.00797041666666662,0.492924390384615,-0.0111712536789903,6.44894737015515,17581
"669",61.7,0.49297425,-0.00790625000000006,0.49287835,-0.0111966823266983,6.45113104921242,17581
"670",61.725,0.4929383125,-0.00790624999999999,0.492834771428571,-0.0112183500987789,6.45113104921243,17581
"671",61.75,0.49289421875,-0.00786981250000003,0.4928070625,-0.0112336286560154,6.45282292214113,17581
"672",61.775,0.492858446875,-0.00786981249999996,0.49277095625,-0.0112336286560154,6.45282292214113,17581
"673",61.8,0.492822675,-0.0078698124999999,0.49270825,-0.0112880758781668,6.45282292214113,17581
"674",61.825,0.4927762,-0.00783200000000007,0.492673266666667,-0.0113457640063986,6.45408349679426,17581
"675",61.85,0.4927406,-0.007832,0.492637075,-0.0113600239931524,6.45408349679424,17581
"676",61.875,0.49268953125,-0.00781137499999994,0.4926005625,-0.0113600239931524,6.45470948456042,17581
"677",61.9,0.492653975,-0.00780862500000002,0.49256438,-0.0113856919693095,6.45474966517622,17581
"678",61.925,0.492618325,-0.00779716666666656,0.4925278875,-0.0113963221412533,6.45512642740631,17581
"679",61.95,0.4925825375,-0.00775912500000005,0.492491258333333,-0.0113963221412534,6.45688950096515,17581
"680",61.975,0.49254726875,-0.00775912499999994,0.492445278125,-0.0114426670982035,6.45688950096514,17581
"681",62,0.492505777777778,-0.00774705555555559,0.4924085,-0.0114426670982036,6.45702319281633,17581
"682",62.025,0.492476377777778,-0.0077391111111111,0.492371721875,-0.0114426670982037,6.45711297452337,17581
"683",62.05,0.4923928,-0.00768533333333312,0.49234415,-0.0114883638739378,6.46003148470371,17581
"684",62.075,0.4923255375,-0.00758724999999976,0.492307160714286,-0.0114950308807318,6.46376091631004,17581
"685",62.1,0.492304944444444,-0.0075686111111111,0.4922694,-0.0115583674452752,6.46451689070262,17581
"686",62.125,0.492269666666667,-0.00755333333333324,0.49223225,-0.011558367445276,6.46508303865709,17581
"687",62.15,0.492241783333333,-0.00753683333333326,0.4921950625,-0.0115603119889236,6.46569095471269,17581
"688",62.175,0.492207525,-0.00753683333333334,0.49215788,-0.0115614787151124,6.46569095471268,17581
"689",62.2,0.4921462,-0.00747449999999998,0.4921128,-0.0115750349622604,6.46742543879843,17581
"690",62.225,0.492112225,-0.00747449999999999,0.4920821375,-0.011593369230944,6.46742543879843,17581
"691",62.25,0.492063535714286,-0.00742107142857145,0.49204015,-0.0116003695880778,6.46952125333182,17581
"692",62.275,0.492029803571429,-0.00742107142857152,0.492003046153846,-0.0116170029152844,6.46952125333181,17581
"693",62.3,0.4919845,-0.00739750000000008,0.4919628,-0.0116205928420198,6.4703311185306,17581
"694",62.325,0.49192866875,-0.00737137500000002,0.491930407142857,-0.0116694842251761,6.47089123176252,17581
"695",62.35,0.491889925,-0.00735808333333336,0.4918963,-0.011682818238764,6.47122445817708,17581
"696",62.375,0.49185934375,-0.00734662500000002,0.491873041666667,-0.0117251660782152,6.47163404957803,17581
"697",62.4,0.491806914285714,-0.00730635714285714,0.4918418,-0.0117943054079312,6.47312914717795,17581
"698",62.425,0.49176745,-0.00729300000000003,0.49180413125,-0.0117975463140116,6.47367774745657,17581
"699",62.45,0.49173517,-0.0072897,0.491782742857143,-0.0118717167645955,6.47381396310883,17581
"700",62.475,0.491693575,-0.00727649999999996,0.491739458333333,-0.0118790010868334,6.47431265545079,17581
"701",62.5,0.491650857142857,-0.00725528571428575,0.4917019,-0.0118803838734277,6.67189665999063,19431
"702",62.525,0.491616011111111,-0.00725755555555556,0.49168732,-0.0119721663336256,6.57952815978143,18172
"703",62.55,0.491583022222222,-0.00725755555555553,0.491657871428571,-0.0120206132496624,6.57952815978144,18172
"704",62.575,0.491547575,-0.00725450000000006,0.4916012925,-0.0120569484366899,6.5798506511107,18172
"705",62.6,0.4915146,-0.0072544999999998,0.49156254,-0.01205694843669,6.57985065111073,18172
"706",62.625,0.49147065625,-0.00723662499999991,0.491519916666667,-0.0120976542170603,6.5813002110351,18172
"707",62.65,0.4914377625,-0.00723662499999993,0.4914770375,-0.0121125623850303,6.5813002110351,18172
"708",62.675,0.49140443,-0.00724019999999994,0.49143908125,-0.0121358969088093,6.58109333353585,18172
"709",62.7,0.49137152,-0.00724019999999993,0.4914141,-0.012162472338669,6.58109333353586,18172
"710",62.725,0.491322853571429,-0.00721992857142851,0.491370163888889,-0.0121763002046122,6.58242713001548,18172
"711",62.75,0.49128155,-0.00726330000000001,0.491325178571429,-0.0121928442585086,6.57886919887597,18172
